Source Url,Lat,Long,Url,User,Id,Instant Book,Prix,Adresse,Logement,Lit,Propriete,Capacite Daccueil,Chambres,Etoiles,Name,Review,,
https://fr.airbnb.ca/s/Montr%C3%A9al--Canada?neighborhoods%5B%5D=Ahuntsic-Cartierville&page=1,45.56762952325407,-73.66109187061276,/rooms/4863426?s=vs-JNGtt,6990006,4863426,FAUX,120,"Ahuntsic-Cartierville, Montréal",Logement entier,,Appartement,6,2,5/4/2015,Grand et lumineux appartement,7 commentaires,,
https://fr.airbnb.ca/s/Montr%C3%A9al--Canada?neighborhoods%5B%5D=Ahuntsic-Cartierville&page=1,45.53020665476505,-73.71747276172884,/rooms/9329873?s=vs-JNGtt,48415508,9329873,VRAI,60,"Ahuntsic-Cartierville, Montréal",Logement entier,Vrai lit,Appartement,3,1,0,"Charmant condo 3 1/2, tout équipé",,,
https://fr.airbnb.ca/s/Montr%C3%A9al--Canada?neighborhoods%5B%5D=Ahuntsic-Cartierville&page=1,45.52380993334258,-73.70882138215133,/rooms/5346554?s=vs-JNGtt,27647006,5346554,FAUX,25,"Ahuntsic-Cartierville, Montréal",Chambre privée,Vrai lit,Appartement,2,1,5/4/2015,Nice and quiet bedroom!,5 commentaires,,
https://fr.airbnb.ca/s/Montr%C3%A9al--Canada?neighborhoods%5B%5D=Ahuntsic-Cartierville&page=1,45.559528266592245,-73.66241539906972,/rooms/4977588?s=vs-JNGtt,25656853,4977588,FAUX,40,"Ahuntsic-Cartierville, Montréal",Chambre privée,Vrai lit,Appartement,2,1,5.0,Jolie chambre dans quartier vivant,4 commentaires,,
https://fr.airbnb.ca/s/Montr%C3%A9al--Canada?neighborhoods%5B%5D=Ahuntsic-Cartierville&page=1,45.5516043794134,-73.6672130743078,/rooms/7469184?s=vs-JNGtt,3399617,7469184,FAUX,51,"Ahuntsic-Cartierville, Montréal",Logement entier,,Appartement,4,1,5.0,Super convenient studio in Montreal,19 commentaires,,
https://fr.airbnb.ca/s/Montr%C3%A9al--Canada?neighborhoods%5B%5D=Ahuntsic-Cartierville&page=1,45.551591256323185,-73.65297810376997,/rooms/2431115?s=vs-JNGtt,1313899,2431115,FAUX,71,"Ahuntsic-Cartierville, Montréal",Logement entier,,Loft,3,0,5.0,Grand studio à deux pas du métro,38 commentaires,,
https://fr.airbnb.ca/s/Montr%C3%A9al--Canada?neighborhoods%5B%5D=Ahuntsic-Cartierville&page=1,45.57294510506309,-73.66196767064508,/rooms/9324861?s=vs-JNGtt,40023942,9324861,VRAI,39,"Ahuntsic-Cartierville, Montréal",Chambre privée,Vrai lit,Maison,2,1,0,BELLE CHAMBRE À LOUER,,,
https://fr.airbnb.ca/s/Montr%C3%A9al--Canada?neighborhoods%5B%5D=Ahuntsic-Cartierville&page=1,45.5418420408864,-73.66262166923211,/rooms/9295993?s=vs-JNGtt,5636900,9295993,FAUX,59,"Ahuntsic-Cartierville, Montréal",Chambre privée,Vrai lit,Appartement,1,1,0,a place to stay in in montreal,,,
https://fr.airbnb.ca/s/Montr%C3%A9al--Canada?neighborhoods%5B%5D=Ahuntsic-Cartierville&page=2,45.54582752197059,-73.66259500919166,/rooms/8271413?s=2mqA004z,7663825,8271413,FAUX,110,"Ahuntsic-Cartierville, Montréal",Chambre privée,Vrai lit,Maison de ville,1,1,0,Chambre a louer Montreal Ahuntsic,,,
https://fr.airbnb.ca/s/Montr%C3%A9al--Canada?neighborhoods%5B%5D=Ahuntsic-Cartierville&page=2,45.540781138496314,-73.64412893596514,/rooms/9260122?s=2mqA004z,48104552,9260122,FAUX,15,"Ahuntsic-Cartierville, Montréal",Chambre privée,Vrai lit,Appartement,1,1,0,Grand 5 1/2 sur 2 étages,,,
https://fr.airbnb.ca/s/Montr%C3%A9al--Canada?neighborhoods%5B%5D=Ahuntsic-Cartierville&page=2,45.56509660382796,-73.66322287808977,/rooms/6074817?s=2mqA004z,29497060,6074817,FAUX,84,"Ahuntsic-Cartierville, Montréal",Logement entier,,Appartement,4,1,0,"Charmant appartement, bord de l'eau",1 commentaire,,
https://fr.airbnb.ca/s/Montr%C3%A9al--Canada?neighborhoods%5B%5D=Ahuntsic-Cartierville&page=2,45.554350478921194,-73.6429545098122,/rooms/6312023?s=2mqA004z,32836210,6312023,FAUX,51,"Ahuntsic-Cartierville, Montréal",Logement entier,Vrai lit,Appartement,2,1,4.0,Superbe appartement Ahuntsic,4 commentaires,,
https://fr.airbnb.ca/s/Montr%C3%A9al--Canada?neighborhoods%5B%5D=Ahuntsic-Cartierville&page=2,45.576104563408705,-73.64030907849009,/rooms/4347575?s=2mqA004z,22568628,4347575,FAUX,60,"Ahuntsic-Cartierville, Montréal",Logement entier,,Appartement,2,1,4.0,"Confort, Tranquilite d'esprit",7 commentaires,,
https://fr.airbnb.ca/s/Montr%C3%A9al--Canada?neighborhoods%5B%5D=Ahuntsic-Cartierville&page=2,45.548029530468305,-73.67181982279965,/rooms/9257586?s=2mqA004z,4043927,9257586,FAUX,51,"Ahuntsic-Cartierville, Montréal",Logement entier,,Appartement,4,2,0,Appartement près du métro,,,
https://fr.airbnb.ca/s/Montr%C3%A9al--Canada?neighborhoods%5B%5D=Ahuntsic-Cartierville&page=2,45.54501853232114,-73.64224136207135,/rooms/6778964?s=2mqA004z,2371968,6778964,FAUX,79,"Ahuntsic-Cartierville, Montréal",Logement entier,Vrai lit,Appartement,2,1,5.0,Peaceful apartement in Montreal,3 commentaires,,
https://fr.airbnb.ca/s/Montr%C3%A9al--Canada?neighborhoods%5B%5D=Ahuntsic-Cartierville&page=2,45.54819901177008,-73.6409401369739,/rooms/8480452?s=2mqA004z,44629285,8480452,VRAI,91,"Ahuntsic-Cartierville, Montréal",Logement entier,,Maison de ville,6,2,0,Apartment on two floors Near Subway,,,
https://fr.airbnb.ca/s/Montr%C3%A9al--Canada?neighborhoods%5B%5D=Ahuntsic-Cartierville&page=2,45.54781962326742,-73.66785043291874,/rooms/8947919?s=2mqA004z,46770423,8947919,FAUX,43,"Ahuntsic-Cartierville, Montréal",Logement entier,Vrai lit,Appartement,3,1,0,Beau bachelor tout inclus!,,,
https://fr.airbnb.ca/s/Montr%C3%A9al--Canada?neighborhoods%5B%5D=Ahuntsic-Cartierville&page=2,45.55061858973503,-73.66430101466666,/rooms/728677?s=2mqA004z,3781413,728677,VRAI,125,"Ahuntsic-Cartierville, Montréal",Logement entier,,Maison,8,4,5.0,Grande maison à Montréal près métro,3 commentaires,,
https://fr.airbnb.ca/s/Montr%C3%A9al--Canada?neighborhoods%5B%5D=Ahuntsic-Cartierville&page=2,45.54311433199164,-73.69524409894602,/rooms/8986279?s=2mqA004z,46667459,8986279,FAUX,40,"Ahuntsic-Cartierville, Montréal",Chambre privée,Vrai lit,Appartement,2,1,0,Le cycliste,,,
https://fr.airbnb.ca/s/Montr%C3%A9al--Canada?neighborhoods%5B%5D=Ahuntsic-Cartierville&page=2,45.56454013108095,-73.6576914679851,/rooms/7111086?s=2mqA004z,27731319,7111086,VRAI,51,"Ahuntsic-Cartierville, Montréal",Logement entier,Vrai lit,Appartement,3,1,5.0,Appartement confortable à Ahuntsic,7 commentaires,,
https://fr.airbnb.ca/s/Montr%C3%A9al--Canada?neighborhoods%5B%5D=Ahuntsic-Cartierville&page=2,45.54664071511397,-73.64148470502437,/rooms/6493792?s=2mqA004z,21760037,6493792,FAUX,95,"Ahuntsic-Cartierville, Montréal",Logement entier,,Maison,3,1,5.0,Au jardin d'hortensias,6 commentaires,,
https://fr.airbnb.ca/s/Montr%C3%A9al--Canada?neighborhoods%5B%5D=Ahuntsic-Cartierville&page=2,45.53840698743503,-73.67196032736769,/rooms/8884263?s=2mqA004z,46487295,8884263,FAUX,45,"Ahuntsic-Cartierville, Montréal",Logement entier,,Appartement,4,2,0,Superbe 4 1/2 + Mezzanine,,,
https://fr.airbnb.ca/s/Montr%C3%A9al--Canada?neighborhoods%5B%5D=Ahuntsic-Cartierville&page=2,45.5525077159038,-73.64979069696739,/rooms/6935162?s=2mqA004z,20823608,6935162,VRAI,45,"Ahuntsic-Cartierville, Montréal",Logement entier,,Appartement,2,1,0,Hızel,1 commentaire,,
https://fr.airbnb.ca/s/Montr%C3%A9al--Canada?neighborhoods%5B%5D=Ahuntsic-Cartierville&page=2,45.551133226880204,-73.63120656655705,/rooms/5863283?s=2mqA004z,593336,5863283,FAUX,85,"Ahuntsic-Cartierville, Montréal",Chambre privée,Vrai lit,Appartement,2,1,0,Sunny room in Montreal,,,
https://fr.airbnb.ca/s/Montr%C3%A9al--Canada?neighborhoods%5B%5D=Ahuntsic-Cartierville&page=2,45.5581450201015,-73.6647419476153,/rooms/4375393?s=2mqA004z,14698253,4375393,FAUX,75,"Ahuntsic-Cartierville, Montréal",Chambre privée,Vrai lit,Appartement,2,1,0,Belle chambre quartier calme,,,
https://fr.airbnb.ca/s/Montr%C3%A9al--Canada?neighborhoods%5B%5D=Ahuntsic-Cartierville&page=2,45.56866366495355,-73.64564640284847,/rooms/9331443?s=2mqA004z,48428470,9331443,FAUX,200,"Ahuntsic-Cartierville, Montréal",Logement entier,,Maison,8,7,0,Grand logement à Ahuntsic,,,
https://fr.airbnb.ca/s/Montr%C3%A9al--Canada?neighborhoods%5B%5D=Ahuntsic-Cartierville&page=3,45.55066879270795,-73.63679624372891,/rooms/9134482?s=SHbWSkCe,47574952,9134482,VRAI,25,"Ahuntsic-Cartierville, Montréal",Chambre privée,Vrai lit,Appartement,1,1,0,One room in a College Residence,,,
https://fr.airbnb.ca/s/Montr%C3%A9al--Canada?neighborhoods%5B%5D=Ahuntsic-Cartierville&page=3,45.55780865211142,-73.66147465099135,/rooms/7770532?s=SHbWSkCe,27745525,7770532,FAUX,35,"Ahuntsic-Cartierville, Montréal",Chambre privée,Vrai lit,Maison,2,1,0,"Maison, jardin en ville !",,,
https://fr.airbnb.ca/s/Montr%C3%A9al--Canada?neighborhoods%5B%5D=Ahuntsic-Cartierville&page=3,45.55074915620988,-73.64332869802102,/rooms/9434497?s=SHbWSkCe,7826853,9434497,FAUX,40,"Ahuntsic-Cartierville, Montréal",Logement entier,Vrai lit,Appartement,2,1,0,Very nice appartment,,,
https://fr.airbnb.ca/s/Montr%C3%A9al--Canada?neighborhoods%5B%5D=Ahuntsic-Cartierville&page=3,45.56080626601804,-73.66900236874139,/rooms/444529?s=SHbWSkCe,1750622,444529,VRAI,64,"Ahuntsic-Cartierville, Montréal",Logement entier,,Appartement,4,2,5.0,Montreal Fabulous Apt.,98 commentaires,,
https://fr.airbnb.ca/s/Montr%C3%A9al--Canada?neighborhoods%5B%5D=Ahuntsic-Cartierville&page=3,45.54468575467197,-73.69516561398119,/rooms/3827590?s=SHbWSkCe,19695765,3827590,FAUX,67,"Ahuntsic-Cartierville, Montréal",Logement entier,Vrai lit,Maison,2,1,5.0,Charmant studio près de la rivière,13 commentaires,,
https://fr.airbnb.ca/s/Montr%C3%A9al--Canada?neighborhoods%5B%5D=Ahuntsic-Cartierville&page=3,45.54571416946724,-73.64161300125708,/rooms/5825280?s=SHbWSkCe,3588338,5825280,FAUX,40,"Ahuntsic-Cartierville, Montréal",Chambre partagée,Canapé-lit,Appartement,2,1,0,You are Welcome in Montreal !,,,
https://fr.airbnb.ca/s/Montr%C3%A9al--Canada?neighborhoods%5B%5D=Ahuntsic-Cartierville&page=3,45.559509917675086,-73.66415981917406,/rooms/3857187?s=SHbWSkCe,18232069,3857187,FAUX,45,"Ahuntsic-Cartierville, Montréal",Chambre privée,Vrai lit,Appartement,3,1,0,Chambre double Montréal - 2 étages,1 commentaire,,
https://fr.airbnb.ca/s/Montr%C3%A9al--Canada?neighborhoods%5B%5D=Ahuntsic-Cartierville&page=3,45.52543481169594,-73.71279084555357,/rooms/8407095?s=SHbWSkCe,42643480,8407095,FAUX,55,"Ahuntsic-Cartierville, Montréal",Chambre privée,Vrai lit,Appartement,2,1,0,2 bedroom appartment,,,
https://fr.airbnb.ca/s/Montr%C3%A9al--Canada?neighborhoods%5B%5D=Ahuntsic-Cartierville&page=3,45.53011963108163,-73.681635264936,/rooms/788687?s=SHbWSkCe,4156658,788687,FAUX,99,"Ahuntsic-Cartierville, Montréal",Logement entier,Vrai lit,Appartement,2,1,5.0,Parfait condo/parking intérieur,20 commentaires,,
https://fr.airbnb.ca/s/Montr%C3%A9al--Canada?neighborhoods%5B%5D=Ahuntsic-Cartierville&page=3,45.56512373322526,-73.66382542254708,/rooms/8213660?s=SHbWSkCe,3301739,8213660,FAUX,28,"Ahuntsic-Cartierville, Montréal",Chambre privée,Vrai lit,Appartement,1,1,0,Nice bedroom near river,,,
https://fr.airbnb.ca/s/Montr%C3%A9al--Canada?neighborhoods%5B%5D=Ahuntsic-Cartierville&page=3,45.57479194755578,-73.65836157656406,/rooms/9184698?s=SHbWSkCe,45516209,9184698,FAUX,63,"Ahuntsic-Cartierville, Montréal",Logement entier,,Appartement,4,1,0,Petit appartement charmant,,,
https://fr.airbnb.ca/s/Montr%C3%A9al--Canada?neighborhoods%5B%5D=Ahuntsic-Cartierville&page=3,45.53598721768846,-73.69409137915149,/rooms/8001457?s=SHbWSkCe,39955207,8001457,FAUX,45,"Ahuntsic-Cartierville, Montréal",Logement entier,Vrai lit,Appartement,2,1,0,grand 2.5 a sous-louer pour 2 mois,,,
https://fr.airbnb.ca/s/Montr%C3%A9al--Canada?neighborhoods%5B%5D=Ahuntsic-Cartierville&page=3,45.54665669341026,-73.67346630877904,/rooms/6162989?s=SHbWSkCe,31972063,6162989,FAUX,45,"Ahuntsic-Cartierville, Montréal",Chambre privée,Vrai lit,Appartement,2,1,0,Grande et lumineuse chambre,,,
https://fr.airbnb.ca/s/Montr%C3%A9al--Canada?neighborhoods%5B%5D=Ahuntsic-Cartierville&page=3,45.560672862032,-73.66785724559257,/rooms/6092066?s=SHbWSkCe,31615696,6092066,FAUX,80,"Ahuntsic-Cartierville, Montréal",Chambre privée,Canapé-lit,Appartement,2,1,0,Nice and well maintained apartment,,,
https://fr.airbnb.ca/s/Montr%C3%A9al--Canada?neighborhoods%5B%5D=Ahuntsic-Cartierville&page=3,45.55200603776582,-73.62998044480636,/rooms/5434485?s=SHbWSkCe,25058470,5434485,FAUX,111,"Ahuntsic-Cartierville, Montréal",Logement entier,Vrai lit,Appartement en résidence,2,1,0,The home to Stay,,,
https://fr.airbnb.ca/s/Montr%C3%A9al--Canada?neighborhoods%5B%5D=Ahuntsic-Cartierville&page=3,45.546083416469024,-73.6395087838413,/rooms/9097971?s=SHbWSkCe,47433595,9097971,VRAI,24,"Ahuntsic-Cartierville, Montréal",Chambre privée,Vrai lit,Appartement,1,1,0,Cozy room in sunny Villeray!,,,
https://fr.airbnb.ca/s/Montr%C3%A9al--Canada?neighborhoods%5B%5D=Ahuntsic-Cartierville&page=3,45.545210651457516,-73.64202793286269,/rooms/1889358?s=SHbWSkCe,9825744,1889358,FAUX,51,"Ahuntsic-Cartierville, Montréal",Logement entier,Vrai lit,Appartement,2,3,0,Très beau et spacieux 3 1/2 !,2 commentaires,,
https://fr.airbnb.ca/s/Montr%C3%A9al--Canada?neighborhoods%5B%5D=Ahuntsic-Cartierville&page=4,45.52912394192952,-73.72535000764472,/rooms/8664457?s=Pz6AK4Mr,38964529,8664457,FAUX,25,"Ahuntsic-Cartierville, Montréal",Chambre privée,Vrai lit,Appartement,1,1,0,Suburb getaway,,,
https://fr.airbnb.ca/s/Montr%C3%A9al--Canada?neighborhoods%5B%5D=Ahuntsic-Cartierville&page=4,45.545643266197644,-73.64172524926659,/rooms/7051401?s=Pz6AK4Mr,18768465,7051401,VRAI,35,"Ahuntsic-Cartierville, Montréal",Chambre privée,Vrai lit,Appartement,2,1,0,Chambre privée - 300m du métro,,,
https://fr.airbnb.ca/s/Montr%C3%A9al--Canada?neighborhoods%5B%5D=Ahuntsic-Cartierville&page=4,45.54585119388785,-73.67702249971785,/rooms/8454794?s=Pz6AK4Mr,41833884,8454794,VRAI,51,"Ahuntsic-Cartierville, Montréal",Chambre privée,Vrai lit,Appartement,4,1,0,Superbe Appartement,,,
https://fr.airbnb.ca/s/Montr%C3%A9al--Canada?neighborhoods%5B%5D=Ahuntsic-Cartierville&page=4,45.54500192762006,-73.66265314029881,/rooms/8761005?s=Pz6AK4Mr,45066950,8761005,FAUX,75,"Ahuntsic-Cartierville, Montréal",Chambre privée,Vrai lit,Maison de ville,2,1,0,Chambre rue St-Urbain,,,
https://fr.airbnb.ca/s/Montr%C3%A9al--Canada?neighborhoods%5B%5D=Ahuntsic-Cartierville&page=4,45.544241866844914,-73.64211802986486,/rooms/8644483?s=Pz6AK4Mr,45440378,8644483,FAUX,35,"Ahuntsic-Cartierville, Montréal",Chambre privée,Vrai lit,Appartement,2,1,0,Grande chambre Ahuntsic Montréal,,,
https://fr.airbnb.ca/s/Montr%C3%A9al--Canada?neighborhoods%5B%5D=Ahuntsic-Cartierville&page=4,45.55179819847075,-73.66043859720658,/rooms/7176193?s=Pz6AK4Mr,37590127,7176193,VRAI,33,"Ahuntsic-Cartierville, Montréal",Chambre privée,Vrai lit,Maison,1,1,5.0,Room in family house,4 commentaires,,
https://fr.airbnb.ca/s/Montr%C3%A9al--Canada?neighborhoods%5B%5D=Ahuntsic-Cartierville&page=4,45.566708758912604,-73.66028793499738,/rooms/4163381?s=Pz6AK4Mr,730586,4163381,FAUX,80,"Ahuntsic-Cartierville, Montréal",Logement entier,Vrai lit,Appartement,4,1,0,Le Cocon d'Ahuntsic,,,
https://fr.airbnb.ca/s/Montr%C3%A9al--Canada?neighborhoods%5B%5D=Ahuntsic-Cartierville&page=4,45.55112641672802,-73.65912894223636,/rooms/8554343?s=Pz6AK4Mr,44877718,8554343,FAUX,165,"Ahuntsic-Cartierville, Montréal",Chambre privée,,Maison de ville,5,1,0,Berri House,,,
https://fr.airbnb.ca/s/Montr%C3%A9al--Canada?neighborhoods%5B%5D=Ahuntsic-Cartierville&page=4,45.56020921928642,-73.65203966782713,/rooms/5929003?s=Pz6AK4Mr,19070395,5929003,FAUX,143,"Ahuntsic-Cartierville, Montréal",Logement entier,,Maison,4,3,0,Jolie maison proche de tout,,,
https://fr.airbnb.ca/s/Montr%C3%A9al--Canada?neighborhoods%5B%5D=Ahuntsic-Cartierville&page=4,45.56905724300625,-73.6607563235008,/rooms/9206623?s=Pz6AK4Mr,47884474,9206623,FAUX,67,"Ahuntsic-Cartierville, Montréal",Logement entier,Vrai lit,Appartement,2,1,0,Appartement 3 et demi Ahunstic,,,
https://fr.airbnb.ca/s/Montr%C3%A9al--Canada?neighborhoods%5B%5D=Ahuntsic-Cartierville&page=4,45.533300697032466,-73.72352356464664,/rooms/8987403?s=Pz6AK4Mr,10085483,8987403,FAUX,274,"Ahuntsic-Cartierville, Montréal",Logement entier,,Appartement,6,2,0,Très bel appartement à Montréal,,,
https://fr.airbnb.ca/s/Montr%C3%A9al--Canada?neighborhoods%5B%5D=Ahuntsic-Cartierville&page=4,45.55323234300278,-73.66060289795993,/rooms/7665131?s=Pz6AK4Mr,37590127,7665131,VRAI,33,"Ahuntsic-Cartierville, Montréal",Chambre privée,Vrai lit,Maison,1,1,0,Room in family house,,,
https://fr.airbnb.ca/s/Montr%C3%A9al--Canada?neighborhoods%5B%5D=Ahuntsic-Cartierville&page=4,45.54988726741629,-73.67323109166254,/rooms/2188421?s=Pz6AK4Mr,5994859,2188421,VRAI,87,"Ahuntsic-Cartierville, Montréal",Logement entier,,Appartement,4,2,5/4/2015,"Appart. chic meublé,4 et demi, 2 ch",30 commentaires,,
https://fr.airbnb.ca/s/Montr%C3%A9al--Canada?neighborhoods%5B%5D=Ahuntsic-Cartierville&page=4,45.57070674794792,-73.64828635053622,/rooms/6371584?s=Pz6AK4Mr,19683965,6371584,FAUX,95,"Ahuntsic-Cartierville, Montréal",Logement entier,,Appartement,4,2,5.0,Secteur tranquile de Montreal,6 commentaires,,
https://fr.airbnb.ca/s/Montr%C3%A9al--Canada?neighborhoods%5B%5D=Ahuntsic-Cartierville&page=4,45.56111055168684,-73.65618124767457,/rooms/1073620?s=Pz6AK4Mr,2837376,1073620,VRAI,100,"Ahuntsic-Cartierville, Montréal",Logement entier,,Maison,8,5,0,Live in a sector near everything,2 commentaires,,
https://fr.airbnb.ca/s/Montr%C3%A9al--Canada?neighborhoods%5B%5D=Ahuntsic-Cartierville&page=4,45.548914506581085,-73.63782383340684,/rooms/5337683?s=Pz6AK4Mr,27662840,5337683,FAUX,71,"Ahuntsic-Cartierville, Montréal",Logement entier,,Appartement,2,2,0,"Spacieux, tranquille & abordable",,,
https://fr.airbnb.ca/s/Montr%C3%A9al--Canada?neighborhoods%5B%5D=Ahuntsic-Cartierville&page=4,45.56077811736587,-73.66287343463293,/rooms/2546222?s=Pz6AK4Mr,12858048,2546222,FAUX,45,"Ahuntsic-Cartierville, Montréal",Logement entier,Vrai lit,Appartement,2,0,5.0,Studio avec accès au jardin !,20 commentaires,,
https://fr.airbnb.ca/s/Montr%C3%A9al--Canada?neighborhoods%5B%5D=Ahuntsic-Cartierville&page=4,45.54785915461637,-73.64451625997779,/rooms/6819663?s=Pz6AK4Mr,35711563,6819663,FAUX,80,"Ahuntsic-Cartierville, Montréal",Logement entier,,Appartement,4,2,5.0,La campagne en ville!!,5 commentaires,,
https://fr.airbnb.ca/s/Montr%C3%A9al--Canada?neighborhoods%5B%5D=Ahuntsic-Cartierville&page=5,45.53534468690383,-73.7201874230307,/rooms/8368154?s=i1nwyZZK,44101447,8368154,FAUX,77,"Ahuntsic-Cartierville, Montréal",Logement entier,,Appartement,6,2,5/4/2015,FULL&BIG 4 1/2 APT + VERANDA!,7 commentaires,,
https://fr.airbnb.ca/s/Montr%C3%A9al--Canada?neighborhoods%5B%5D=Ahuntsic-Cartierville&page=5,45.54483347766797,-73.69921773129323,/rooms/7919078?s=i1nwyZZK,41757634,7919078,FAUX,31,"Ahuntsic-Cartierville, Montréal",Chambre privée,Canapé-lit,Maison,2,1,0,Chambre dans une coquette maison,2 commentaires,,
https://fr.airbnb.ca/s/Montr%C3%A9al--Canada?neighborhoods%5B%5D=Ahuntsic-Cartierville&page=5,45.55895324278572,-73.65080352479123,/rooms/8126731?s=i1nwyZZK,9941099,8126731,FAUX,39,"Ahuntsic-Cartierville, Montréal",Logement entier,Vrai lit,Appartement,2,0,5.0,studio chaleureux old-fashioned,7 commentaires,,
https://fr.airbnb.ca/s/Montr%C3%A9al--Canada?neighborhoods%5B%5D=Ahuntsic-Cartierville&page=5,45.562993255147425,-73.64826308079363,/rooms/3584358?s=i1nwyZZK,18056013,3584358,FAUX,51,"Ahuntsic-Cartierville, Montréal",Chambre privée,Vrai lit,Appartement,1,1,0,Furnished appartment to share:),,,
https://fr.airbnb.ca/s/Montr%C3%A9al--Canada?neighborhoods%5B%5D=Ahuntsic-Cartierville&page=5,45.55300048024849,-73.62839084241742,/rooms/3916343?s=i1nwyZZK,14297323,3916343,FAUX,89,"Ahuntsic-Cartierville, Montréal",Logement entier,Vrai lit,Appartement,2,1,5/4/2015,Superb luminous condo on 2 floors,14 commentaires,,
https://fr.airbnb.ca/s/Montr%C3%A9al--Canada?neighborhoods%5B%5D=Ahuntsic-Cartierville&page=5,45.52595608248648,-73.73489684975208,/rooms/5760290?s=i1nwyZZK,29883323,5760290,FAUX,1395,"Ahuntsic-Cartierville, Montréal",Logement entier,,Maison,15,8,5/4/2015,Amazing 8BR Suites Waterview House,3 commentaires,,
